Датасет,Модель,Тип атаки,ε (доля),Профиль защиты,F1_base,F1_prot,F1_std,ASR_prot,removal_rate,time_ratio,I_score
MNIST,RF,Random_LF,0.1000,auto,0.9586,0.9537,0.0021,,0.1000,0.4724,0.7035
MNIST,RF,Random_LF,0.1000,lf,0.9586,0.9537,0.0021,,0.1000,0.4777,0.7024
MNIST,RF,Random_LF,0.1500,auto,0.9586,0.9476,0.0039,,0.1500,0.3692,0.7216
MNIST,RF,Random_LF,0.1500,lf,0.9586,0.9476,0.0039,,0.1500,0.4663,0.7022
MNIST,RF,Random_LF,0.2000,auto,0.9586,0.9362,0.0044,,0.2000,0.3451,0.7216
MNIST,RF,Random_LF,0.2000,lf,0.9586,0.9362,0.0044,,0.2000,0.3235,0.7260
MNIST,RF,Random_LF,0.2500,auto,0.9586,0.9112,0.0095,,0.2500,0.2715,0.7259
MNIST,RF,Random_LF,0.2500,lf,0.9586,0.9112,0.0095,,0.2500,0.2735,0.7255
MNIST,RF,Random_LF,0.3000,auto,0.9586,0.8702,0.0167,,0.3000,0.2158,0.7200
MNIST,RF,Random_LF,0.3000,lf,0.9586,0.8702,0.0167,,0.3000,0.1029,0.7425
MNIST,RF,Targeted_LF,0.0100,auto,0.9586,0.9590,0.0035,,0.0100,0.7040,0.6594
MNIST,RF,Targeted_LF,0.0100,lf,0.9586,0.9590,0.0035,,0.0100,0.6721,0.6657
MNIST,RF,Targeted_LF,0.0500,auto,0.9586,0.9581,0.0019,,0.0500,0.6156,0.6767
MNIST,RF,Targeted_LF,0.0500,lf,0.9586,0.9581,0.0019,,0.0500,0.5503,0.6897
MNIST,RF,Targeted_LF,0.1000,auto,0.9586,0.9578,0.0026,,0.1000,0.5404,0.6916
MNIST,RF,Targeted_LF,0.1000,lf,0.9586,0.9578,0.0026,,0.1000,0.5284,0.6940
MNIST,RF,Targeted_LF,0.1500,auto,0.9586,0.9468,0.0053,,0.1500,0.4764,0.6998
MNIST,RF,Targeted_LF,0.1500,lf,0.9586,0.9468,0.0053,,0.1500,0.4878,0.6975
MNIST,RF,Targeted_LF,0.2000,auto,0.9586,0.9302,0.0051,,0.2000,0.3337,0.7214
